,ddG
1925,-2.21
1926,-1.22
1927,-1.18
1928,-1.35
1929,0.21
1930,-2.93
1931,-1.21
1932,-1.47
1933,0.62
1934,-0.44
1935,-1.43
1936,-1.17
1937,0.4
1938,1.05
1939,-0.06
1940,-0.95
1941,-0.09
1942,0.28
1943,0.2
1944,0.29
1945,0.5
1946,0.49
1947,0.41
1948,0.41
1949,0.46
1950,-0.2
1951,0.3
1952,0.43
1953,0.12
1954,0.5
1955,0.82
1956,-0.16
1957,-4.0
1958,0.59
1959,0.55
1960,0.17
1961,0.46
1962,0.67
1963,-1.72
1964,0.72
1965,0.55
1966,0.56
1967,0.57
1968,0.59
1969,0.84
1970,-1.36
1971,-0.05
1972,-0.52
1973,-2.67
1974,-0.84
1975,-0.57
1976,-0.61
1977,-0.53
1978,-0.84
1979,0.47
1980,-4.0
1981,-0.38
1982,-1.72
1983,-0.2
1984,-0.8
1985,-0.51
1986,-1.31
1987,0.36
1988,0.69
1989,0.58
1990,0.25
1991,-0.17
1992,0.74
1993,0.33
1994,-0.33
1995,-0.75
1996,0.35
1997,0.9
1998,0.58
1999,0.18
2000,0.46
2001,-0.07
2002,-0.01
2003,0.35
2004,0.42
2005,-0.19
2006,0.57
2007,-0.22
2008,-0.25
2009,0.6
2010,0.13
2011,0.16
2012,0.72
2013,0.16
2014,-1.98
2015,0.87
2016,0.28
2017,0.17
2018,0.01
2019,0.92
2020,0.66
2021,0.05
2022,0.2
2023,0.84
2024,-1.47
2025,0.02
2026,0.93
2027,0.42
2028,0.37
2029,0.19
2030,0.64
2031,-0.78
2032,0.52
2033,0.72
2034,0.11
2035,0.65
2036,-0.09
2037,0.77
2038,0.41
2039,-0.72
2040,1.92
2041,0.01
2042,-4.0
2043,0.1
2044,0.83
2045,1.82
2046,0.93
2047,-1.64
2048,-4.0
2049,0.44
2050,0.44
2051,-0.36
2052,-1.04
2053,-0.91
2054,0.26
2055,0.68
2056,0.61
2057,0.63
2058,-0.88
2059,0.03
2060,1.19
2061,0.65
2062,0.61
2063,0.42
2064,0.25
2065,-1.26
2066,0.71
2067,0.55
2068,0.01
2069,0.13
2070,0.28
2071,0.69
2072,-0.18
2073,-0.1
2074,1.03
2075,-0.32
2076,-1.06
2077,0.02
2078,-1.04
2079,-0.14
2080,-0.29
2081,0.13
2082,-0.66
2083,0.21
2084,-1.34
2085,-0.17
2086,-0.2
2087,-0.25
2088,0.68
2089,-3.04
2090,-0.5
2091,-4.0
2092,-4.0
2093,-4.0
2094,-4.0
2095,-4.0
2096,-0.48
2097,-1.66
2098,-4.0
2099,-4.0
2100,-4.0
2101,-0.28
2102,-4.0
2103,-4.0
2104,-2.53
2105,0.91
2106,-4.0
2107,-4.0
2108,-4.0
2109,-4.0
2110,-2.66
2111,-0.24
2112,-4.0
2113,-2.53
2114,-2.71
2115,-4.0
2116,-1.72
2117,-4.0
2118,-4.0
2119,-4.0
2120,-4.0
2121,-2.99
2122,-0.34
2123,0.51
2124,0.1
2125,0.53
2126,0.67
2127,0.08
2128,0.81
2129,0.72
2130,1.25
2131,0.94
2132,0.03
2133,-0.88
2134,0.52
2135,0.87
2136,0.51
2137,0.39
2138,0.52
2139,0.24
2140,-0.29
2141,0.05
2142,-0.13
2143,-0.2
2144,0.5
2145,-1.44
2146,0.29
2147,0.04
2148,-0.47
2149,0.3
2150,-2.74
2151,0.19
2152,-0.42
2153,-0.17
2154,-1.01
2155,-1.31
2156,-0.43
2157,0.49
2158,1.3
2159,-4.0
2160,-4.0
2161,-2.32
2162,-4.0
2163,0.58
2164,-2.41
2165,-4.0
2166,0.19
2167,-4.0
2168,-4.0
2169,-4.0
2170,0.43
2171,-4.0
2172,-4.0
2173,-4.0
2174,-2.49
2175,-0.25
2176,-2.5
2177,-2.0
2178,0.0
2179,-1.22
2180,-0.59
2181,-1.23
2182,0.32
2183,-0.55
2184,-1.29
2185,-1.06
2186,-0.88
2187,0.03
2188,0.3
2189,-0.42
2190,-0.54
2191,-1.25
2192,-1.97
2193,-1.03
2194,-0.1
2195,-3.08
2196,-1.06
2197,-0.47
2198,-0.11
2199,-0.5
2200,-4.0
2201,-0.58
2202,-0.66
2203,-1.38
2204,0.49
2205,-0.21
2206,0.22
2207,-0.5
2208,0.55
2209,0.22
2210,-0.35
2211,0.15
2212,0.56
2213,0.72
2214,0.25
2215,0.1
2216,0.11
2217,0.65
2218,-0.13
2219,0.2
2220,0.41
2221,0.51
2222,0.21
2223,-0.45
2224,0.02
2225,0.64
2226,-0.35
2227,0.45
2228,0.23
2229,-0.06
2230,0.32
2231,0.01
2232,-0.99
2233,1.07
2234,0.33
2235,0.57
2236,0.25
2237,0.53
2238,0.69
2239,0.57
2240,0.1
2241,0.56
2242,0.27
2243,-0.01
2244,0.07
2245,0.72
2246,0.31
2247,0.58
2248,0.44
2249,-1.23
2250,0.61
2251,0.91
2252,0.36
2253,0.19
2254,0.23
2255,0.25
2256,-0.44
2257,-4.0
2258,-0.78
2259,-0.22
2260,-1.16
2261,-4.0
2262,0.19
2263,0.17
2264,0.39
2265,-0.58
2266,-4.0
2267,0.45
2268,-4.0
2269,-0.72
2270,-0.48
2271,0.19
2272,-0.48
2273,-0.34
2274,-2.05
2275,-1.36
2276,1.04
2277,-1.23
2278,0.74
2279,1.08
2280,-0.21
2281,0.49
2282,-0.21
2283,-4.0
2284,-0.17
2285,0.77
2286,0.18
2287,0.48
2288,-0.27
2289,0.82
2290,-0.45
2291,-1.33
2292,-1.09
2293,0.34
2294,-0.23
2295,0.82
2296,-1.52
2297,0.55
2298,-0.05
2299,0.38
2300,-4.0
2301,1.17
2302,0.76
2303,-0.29
2304,-1.17
2305,-1.35
2306,0.46
2307,-0.28
2308,-0.68
2309,-0.25
2310,1.26
2311,-0.28
2312,0.28
2313,0.99
2314,0.6
2315,0.34
2316,0.09
2317,-1.23
2318,0.14
2319,0.24
2320,-0.06
2321,0.42
2322,0.63
2323,1.78
2324,-2.01
2325,-4.0
2326,-4.0
2327,-0.47
2328,-4.0
2329,-4.0
2330,-1.34
2331,-4.0
2332,-0.68
2333,-4.0
2334,-1.65
2335,-4.0
2336,0.72
2337,-4.0
2338,-4.0
2339,-1.25
2340,-2.76
2341,-1.4
2342,-3.11
2343,-2.79
2344,0.26
2345,-4.0
2346,-1.59
2347,0.97
2348,-2.76
2349,0.5
2350,-4.0
2351,-2.88
2352,-1.54
2353,-2.07
2354,-1.79
2355,-1.14
2356,0.08
2357,-0.02
2358,0.59
2359,0.16
2360,0.75
2361,1.0
2362,0.11
2363,0.04
2364,0.68
2365,1.04
2366,0.85
2367,0.18
2368,-4.0
2369,0.84
2370,0.33
2371,0.76
2372,0.48
2373,0.42
2374,0.93
2375,0.36
2376,-1.12
2377,0.0
2378,1.01
2379,-0.94
2380,0.7
2381,0.57
2382,1.02
2383,0.95
2384,0.3
2385,-3.69
2386,0.94
2387,0.42
2388,0.22
2389,0.08
2390,0.48
2391,0.78
2392,-0.28
2393,0.19
2394,-0.01
2395,0.35
2396,-0.85
2397,0.24
2398,0.56
2399,0.45
2400,0.95
2401,0.37
2402,-1.45
2403,0.29
2404,0.64
2405,-0.04
2406,-0.61
2407,0.13
2408,0.21
2409,0.16
2410,0.05
2411,0.38
2412,-0.32
2413,-0.42
2414,-0.2
2415,0.11
2416,0.58
2417,0.14
2418,0.5
2419,-0.01
2420,0.61
2421,0.39
2422,0.2
2423,0.32
2424,-0.13
2425,-0.39
2426,0.24
2427,0.46
2428,0.46
2429,0.76
2430,-0.01
2431,0.42
2432,0.56
2433,0.35
2434,0.38
2435,0.39
2436,0.17
2437,-1.03
2438,0.59
2439,0.39
2440,0.3
2441,0.54
2442,0.3
2443,0.26
2444,-1.04
2445,-0.23
2446,1.85
2447,-1.21
2448,0.51
2449,1.01
2450,0.32
2451,0.97
2452,0.7
2453,-0.14
2454,-1.99
2455,0.33
2456,0.55
2457,0.01
2458,0.5
2459,1.31
2460,-0.21
2461,-0.32
2462,0.33
2463,0.68
2464,-1.05
2465,-0.05
2466,0.06
2467,-0.08
2468,-0.07
2469,0.06
2470,-0.13
2471,-2.08
2472,0.28
2473,0.21
2474,0.39
2475,0.18
2476,0.71
2477,0.22
2478,-1.79
2479,-0.67
2480,0.56
2481,-1.74
2482,-0.42
2483,0.84
2484,-0.95
2485,0.8
2486,0.62
2487,-0.87
2488,-4.0
2489,-0.59
2490,-0.44
2491,-0.78
2492,0.39
2493,0.16
2494,0.85
2495,0.23
2496,0.62
2497,0.39
2498,0.17
2499,0.67
2500,-0.35
2501,-0.08
2502,-0.06
2503,0.2
2504,0.02
2505,0.47
2506,0.03
2507,0.51
2508,-0.1
2509,0.1
2510,-0.47
2511,-0.55
2512,0.13
2513,0.3
2514,-0.67
2515,-0.13
2516,1.0
2517,0.31
2518,0.54
2519,1.0
2520,-0.14
2521,0.09
2522,0.06
2523,1.31
2524,0.15
2525,0.4
2526,-0.06
2527,0.27
2528,0.09
2529,-0.18
2530,0.31
2531,0.52
2532,0.21
2533,0.07
2534,-0.11
2535,0.0
2536,-4.0
2537,0.22
2538,0.11
2539,0.36
2540,-0.1
2541,0.4
2542,-0.86
2543,-0.84
2544,-0.35
2545,-0.69
2546,-0.91
2547,-0.47
2548,-0.33
2549,-0.03
2550,0.21
2551,-0.45
2552,0.07
2553,-4.0
2554,-0.39
2555,-0.47
2556,0.18
2557,-0.5
2558,-0.83
2559,-1.1
2560,-3.31
2561,-0.76
2562,-4.0
2563,-2.48
2564,-2.16
2565,-0.3
2566,-1.38
2567,-1.05
2568,-0.98
2569,-2.19
2570,-4.0
2571,-1.03
2572,-1.85
2573,-0.62
2574,-0.5
2575,-1.64
2576,-1.18
2577,-1.7
2578,-0.25
2579,-4.0
2580,-0.27
2581,-0.7
2582,-0.33
2583,-0.36
2584,-0.19
2585,-0.98
2586,-0.66
2587,-0.24
2588,-0.64
2589,-0.3
2590,-0.48
2591,0.34
2592,-4.0
2593,-0.04
2594,-0.13
2595,0.35
2596,-0.23
2597,-0.14
2598,0.42
2599,0.46
2600,0.76
2601,1.1
2602,0.19
2603,0.19
2604,0.54
2605,0.54
2606,0.41
2607,0.52
2608,0.5
2609,0.27
2610,0.51
2611,0.44
2612,0.13
2613,0.64
2614,0.14
2615,-0.22
2616,0.12
2617,0.59
2618,-0.91
2619,0.16
2620,0.68
2621,0.33
2622,0.29
2623,0.14
2624,-0.22
2625,0.38
2626,0.44
2627,-0.17
2628,0.41
2629,0.19
2630,-1.18
2631,-3.41
2632,-0.27
2633,0.67
2634,-2.29
2635,-1.57
2636,0.91
2637,-1.96
2638,0.27
2639,-0.27
2640,-4.0
2641,-2.31
2642,-1.52
2643,-2.04
2644,-1.7
2645,-1.28
2646,-0.42
2647,-0.1
2648,-2.67
2649,-4.0
2650,-1.64
2651,-4.0
2652,-4.0
2653,0.26
2654,-4.0
2655,-0.08
2656,-0.68
2657,-4.0
2658,0.42
2659,-2.91
2660,-4.0
2661,-1.54
2662,-1.68
2663,-1.73
2664,-1.77
2665,-4.0
2666,-1.74
2667,0.29
2668,-3.46
2669,-1.44
2670,-0.14
2671,-1.53
2672,-0.72
2673,-0.6
2674,-1.95
2675,-4.0
2676,-1.34
2677,-1.72
2678,-2.09
2679,-1.64
2680,-0.44
2681,-4.0
2682,-4.0
2683,-4.0
2684,0.55
2685,-1.44
2686,-4.0
2687,-3.29
2688,0.88
2689,-3.31
2690,-2.6
2691,-4.0
2692,-4.0
2693,-4.0
2694,-1.22
2695,-4.0
2696,-4.0
2697,-4.0
2698,-4.0
2699,-1.05
2700,-4.0
2701,-0.05
2702,-4.0
2703,-4.0
2704,-2.24
2705,-3.12
2706,-1.79
2707,-2.49
2708,-4.0
2709,-4.0
2710,-4.0
2711,-2.22
2712,-2.97
2713,-4.0
2714,-2.53
2715,1.39
2716,1.41
2717,2.1
2718,1.05
2719,0.94
2720,0.35
2721,1.39
2722,-0.15
2723,0.95
2724,-0.4
2725,-1.01
2726,1.44
2727,0.39
2728,-0.93
2729,1.5
2730,1.8
2731,1.4
2732,3.8
2733,1.8
2734,2.2
2735,0.35
2736,2.3
2737,-0.4
2738,-1.0
2739,-0.4
2740,0.0
2741,-0.8
2742,0.8
2743,0.9
2744,0.9
2745,2.5
2746,0.6
2747,1.6
2748,3.01
2749,2.1
2750,1.75
2751,0.84
2752,-0.54
2753,0.89
2754,1.0
2755,2.3
2756,-2.44
2757,1.0
2758,1.0
2759,1.0
2760,0.2
2761,-0.7
2762,0.5
2763,-0.6
2764,0.6
2765,-1.2
2766,0.4
2767,-0.3
2768,-0.2
2769,-0.3
2770,-0.47
2771,0.98
2772,-0.21
2773,1.18
2774,-3.11
2775,-1.38
2776,1.1
2777,-2.6
2778,-0.4
2779,-2.5
2780,-2.6
2781,-2.2
2782,-0.1
2783,-0.46
2784,-2.81
2785,-1.48
2786,-0.97
2787,-0.6
2788,0.19
2789,-1.46
2790,0.16
2791,-0.57
2792,-0.4
2793,0.31
2794,-0.32
2795,1.38
2796,1.94
2797,1.93
2798,2.35
2799,0.89
2800,-0.76
2801,-0.97
2802,-0.19
2803,-0.77
2804,-1.12
2805,-0.81
2806,-2.84
2807,-0.36
2808,-3.56
2809,-0.16
2810,-0.21
2811,-1.35
2812,-3.91
2813,-2.55
2814,-2.89
2815,-2.93
2816,-3.02
2817,-1.68
2818,0.41
2819,-1.1
2820,-0.5
2821,0.1
2822,1.1
2823,-0.9
2824,0.0
2825,-3.76
2826,-3.39
2827,-3.17
2828,-0.77
2829,-1.2
2830,-0.26
2831,-0.62
2832,-2.08
2833,-1.6
2834,-1.77
2835,0.94
2836,-4.9
2837,-3.6
2838,-4.08
2839,-3.67
2840,-4.73
2841,-3.54
2842,-4.87
2843,-3.07
2844,-0.93
2845,1.24
2846,-0.14
2847,0.74
2848,0.3
2849,0.8
2850,1.0
2851,-0.1
2852,2.0
2853,0.9
2854,-0.8
2855,0.9
2856,-0.1
2857,0.6
2858,0.8
2859,-1.6
2860,1.8
2861,0.8
2862,1.0
2863,-0.4
2864,-0.4
2865,-0.4
2866,0.2
2867,-0.43
2868,-0.44
2869,-2.2
2870,-1.9
2871,0.2
2872,-4.38
2873,-1.79
2874,-0.8
2875,-2.85
2876,-2.2
2877,-0.08
2878,-2.99
2879,-4.81
2880,-2.2
2881,-0.43
2882,0.6
2883,-3.2
2884,-3.3
2885,-2.7
2886,-2.2
2887,-2.1
2888,-4.2
2889,-0.44
2890,-0.7
2891,-0.67
2892,-1.18
2893,-1.92
2894,-2.78
2895,-3.8
2896,-2.58
2897,-4.87
2898,-1.95
2899,-1.09
2900,-2.85
2901,-1.3
2902,-2.37
2903,-2.03
2904,-3.5
2905,-3.54
2906,-0.5
2907,-0.29
2908,-0.27
2909,-1.0
2910,-1.0
2911,-1.3
2912,1.3
2913,-2.36
2914,-1.36
2915,-1.8
2916,-1.5
2917,0.25
2918,-0.06
2919,-0.06
2920,-0.36
2921,-0.53
2922,-0.04
2923,-1.08
2924,-0.35
2925,0.55
2926,-0.45
2927,0.21
2928,-0.43
2929,-0.37
2930,-0.47
2931,-0.12
2932,-0.4
2933,-0.82
2934,-1.0
2935,1.6
2936,-3.68
2937,-3.65
2938,-2.93
2939,-3.02
2940,-2.29
2941,-3.43
2942,-2.94
2943,-3.52
2944,-2.9
2945,-0.22
2946,-3.27
2947,-0.6
2948,-0.4
2949,-0.8
2950,-1.5
2951,-1.3
2952,-0.6
2953,-0.7
2954,-0.2
2955,-1.4
2956,-1.6
2957,0.5
2958,0.05
2959,0.09
2960,-1.74
2961,-2.46
2962,-1.27
2963,0.0
2964,-1.91
2965,-0.02
2966,-0.18
2967,-1.34
2968,-0.61
2969,-1.59
2970,-0.21
2971,0.31
2972,-1.2
2973,-0.1
2974,1.3
2975,-1.15
2976,1.23
2977,-0.44
2978,-0.56
2979,-0.33
2980,-0.9
2981,-0.26
2982,-0.72
2983,-0.46
2984,-0.32
2985,-1.05
2986,-1.1
2987,-1.58
2988,-2.08
2989,-3.04
2990,-0.68
2991,-1.08
2992,-1.65
2993,-1.98
2994,-1.56
2995,-2.26
2996,-0.2
2997,-0.2
2998,-1.7
2999,-2.0
3000,-2.8
3001,-1.9
3002,-2.3
3003,0.2
3004,-1.73
3005,0.0
3006,-2.87
3007,-0.1
3008,-2.16
3009,-2.64
3010,-2.59
3011,-1.96
3012,-2.31
3013,-2.3
3014,-2.52
3015,-1.98
3016,-1.2
3017,-0.97
3018,-0.62
3019,-0.4
3020,0.4
3021,-0.66
3022,-0.25
3023,-0.27
3024,-1.18
3025,-2.36
3026,-1.43
3027,-2.03
3028,-2.01
3029,-0.91
3030,-0.99
3031,0.57
3032,-1.8
3033,-1.62
3034,-0.41
3035,-0.5
3036,-1.9
3037,-0.38
3038,-0.98
3039,-0.46
3040,-1.05
3041,-0.75
3042,-2.41
3043,-0.38
3044,-1.02
3045,-1.4
3046,0.2
3047,-1.6
3048,-1.3
3049,-1.27
3050,0.68
3051,-1.63
3052,-2.29
3053,-0.99
3054,-2.71
3055,-0.97
3056,-3.02
3057,-1.7
3058,-0.74
3059,-3.38
3060,-1.64
3061,-0.6
3062,-2.0
3063,-2.4
3064,-1.1
3065,-1.9
3066,-2.0
3067,-0.8
3068,-2.1
3069,-1.3
3070,-2.0
3071,-0.5
3072,-1.78
3073,-2.84
3074,-0.71
3075,-0.63
3076,-0.8
3077,0.0
3078,-1.2
3079,-0.7
3080,-1.6
3081,-0.71
3082,-2.02
3083,-1.9
3084,-1.68
3085,-1.25
3086,-1.41
3087,0.11
3088,-0.37
3089,-0.73
3090,-0.18
3091,-1.65
3092,-1.1
3093,-2.27
3094,-2.59
3095,-2.34
3096,-0.7
3097,-3.65
3098,0.2
3099,-0.1
3100,-0.52
3101,-2.4
3102,-0.6
3103,-0.4
3104,-1.0
3105,0.44
3106,-0.92
3107,-0.84
3108,0.03
3109,0.07
3110,-0.4
3111,-5.2
3112,-5.3
3113,-2.8
3114,-6.2
3115,0.0
3116,-1.0
3117,-5.1
3118,-6.5
3119,-6.6
3120,0.05
3121,-0.2
3122,0.05
3123,-6.6
3124,-5.8
3125,-7.2
3126,-7.0
3127,-2.9
3128,-5.4
3129,-1.2
3130,-5.2
3131,0.8
3132,0.3
3133,1.17
3134,0.2
3135,1.1
3136,-0.4
3137,-0.6
3138,-1.0
3139,-0.55
3140,-1.6
3141,0.1
3142,-0.4
3143,-0.6
3144,-0.3
3145,-0.1
3146,0.0
3147,-1.0
3148,-6.5
3149,-5.6
3150,-6.6
3151,-5.4
3152,-5.0
3153,-5.1
3154,-5.4
3155,-5.0
3156,-5.47
3157,-6.1
3158,-5.3
3159,-6.7
3160,-5.3
3161,-6.5
3162,-7.5
3163,0.3
3164,0.48
3165,1.07
3166,0.45
3167,1.25
3168,0.72
3169,-2.67
3170,-0.92
3171,1.55
3172,-0.14
3173,-5.42
3174,-2.74
3175,0.02
3176,-3.58
3177,-0.28
3178,-1.63
3179,-0.37
3180,-3.3
3181,-0.8
3182,-2.4
3183,-1.91
3184,-0.88
3185,-2.1
3186,-4.13
3187,-2.88
3188,-3.96
3189,-2.81
3190,-2.72
3191,-1.72
3192,-0.5
3193,-0.92
3194,-0.1
3195,-0.27
3196,-2.58
3197,-2.0
3198,-1.26
3199,-3.4
3200,-1.9
3201,-1.4
3202,-2.69
3203,-3.96
3204,-0.4
3205,-1.21
3206,-4.06
3207,-3.09
3208,-2.08
3209,-3.83
3210,-2.7
3211,-2.7
3212,-3.23
3213,-4.88
3214,-2.15
3215,-4.45
3216,-0.4
3217,-0.8
3218,-2.2
3219,-0.2
3220,-2.0
3221,0.3
3222,-1.9
3223,-2.2
3224,-2.4
3225,-1.0
3226,-0.48
3227,0.11
3228,-0.41
3229,-0.42
3230,-0.21
3231,-1.9
3232,-2.1
3233,-0.7
3234,-0.38
3235,-0.19
3236,0.16
3237,-2.94
3238,-0.43
3239,0.22
3240,0.05
3241,-4.78
3242,-4.54
3243,-4.1
3244,-1.21
3245,-3.07
3246,-4.12
3247,-3.19
3248,-3.29
3249,-2.98
3250,0.35
3251,-0.1
3252,0.3
3253,-3.18
3254,1.49
3255,0.92
3256,-4.49
3257,0.24
3258,0.11
3259,-1.27
3260,-0.43
3261,-0.22
3262,-0.73
3263,-3.01
3264,-1.94
3265,-1.95
3266,0.4
3267,-0.35
3268,-3.3
3269,-0.32
3270,-0.13
3271,-0.08
3272,-3.5
3273,-3.88
3274,0.49
3275,-3.98
3276,0.27
3277,-0.08
3278,0.46
3279,0.77
3280,0.55
3281,-1.91
3282,-1.48
3283,-1.67
3284,0.53
3285,0.26
3286,1.63
3287,-0.33
3288,-0.7
3289,-2.3
3290,-1.93
3291,-1.12
3292,-0.3
3293,-2.07
3294,-0.94
3295,-2.51
3296,-0.4
3297,-1.02
3298,-0.62
3299,-1.57
3300,-1.21
3301,-0.09
3302,-0.4
3303,-0.3
3304,0.11
3305,-0.74
3306,-2.1
3307,-1.04
3308,-2.71
3309,-1.37
3310,-0.42
3311,-1.1
3312,-0.9
3313,-0.08
3314,-1.23
3315,-0.37
3316,-1.57
3317,0.31
3318,-0.8
3319,0.0
3320,-1.04
3321,-0.02
3322,-0.02
3323,-0.4
3324,-0.54
3325,-0.99
3326,0.1
3327,-3.28
3328,0.51
3329,0.0
3330,-0.31
3331,0.3
3332,-2.46
3333,-0.31
3334,-0.72
3335,-2.12
3336,-1.02
3337,-0.77
3338,1.02
3339,0.32
3340,-2.12
3341,-3.32
3342,-2.33
3343,-0.85
3344,-0.28
3345,-1.0
3346,-1.18
3347,-0.62
3348,0.08
3349,-1.5
3350,0.0
3351,0.0
3352,-1.5
3353,-0.32
3354,-0.53
3355,-1.6
3356,-2.15
3357,-1.36
3358,-2.27
3359,-1.34
3360,-1.03
3361,-1.72
3362,-1.12
3363,-0.69
3364,-1.58
3365,-1.41
3366,-1.32
3367,-0.64
3368,1.4
3369,-1.17
3370,-0.8
3371,-0.15
3372,1.05
3373,-1.95
3374,3.4
3375,0.2
3376,-4.42
3377,-0.1
3378,-1.28
3379,-4.01
3380,-2.99
3381,-4.07
3382,-0.6
3383,-1.3
3384,-1.5
3385,-0.8
3386,0.9
3387,1.5
3388,1.0
3389,-1.97
3390,-2.38
3391,-2.61
3392,-4.15
3393,-1.41
3394,-3.2
3395,-2.34
3396,-1.6
3397,-1.57
3398,1.3
3399,-4.52
3400,-1.92
3401,-1.3
3402,-4.79
3403,-3.48
3404,-0.2
3405,-0.17
3406,-1.0
3407,-1.32
3408,-1.86
3409,-1.92
3410,-2.83
3411,-1.44
3412,-1.6
3413,-3.73
3414,-3.88
3415,-3.48
3416,-1.5
3417,-2.97
3418,-2.91
3419,-2.25
3420,-3.26
3421,-3.61
3422,-3.42
3423,-0.85
3424,0.52
3425,-2.36
3426,0.48
3427,0.75
3428,0.76
3429,1.11
3430,0.03
3431,-0.05
3432,0.06
3433,-0.22
3434,-0.9
3435,-1.3
3436,-0.65
3437,0.4
3438,1.5
3439,1.3
3440,3.59
3441,0.0
3442,0.5
3443,1.3
3444,0.6
3445,-2.28
3446,-1.9
3447,-0.56
3448,-1.79
3449,-1.05
3450,-1.7
3451,-1.83
3452,-1.07
3453,-1.4
3454,0.36
3455,-0.3
3456,-0.17
3457,-0.01
3458,-1.0
3459,-1.0
3460,-1.7
3461,-1.3
3462,-0.8
3463,-3.1
3464,-2.3
3465,-0.3
3466,-1.4
3467,-1.3
3468,-0.5
3469,2.5
3470,2.7
3471,-1.9
3472,-1.0
3473,3.4
3474,-1.0
3475,0.8
3476,-0.8
3477,-1.5
3478,-1.5
3479,0.0
3480,-0.6
3481,-1.5
3482,-1.0
3483,-1.0
3484,-4.0
3485,-3.2
3486,-0.2
3487,-1.5
3488,-0.8
3489,-3.5
3490,-1.09
3491,-0.96
3492,-0.8
3493,-3.41
3494,0.0
3495,-0.47
3496,-0.62
3497,0.6
3498,-0.52
3499,-0.55
3500,-0.29
3501,-0.74
3502,-1.07
3503,-0.47
3504,-0.32
3505,-0.6
3506,-3.84
3507,-2.05
3508,-2.39
3509,-1.96
3510,-1.17
3511,-3.84
3512,-3.2
3513,-1.2
3514,-1.09
3515,-2.12
3516,0.08
3517,-0.03
3518,-4.25
3519,0.21
3520,-0.55
3521,-0.67
3522,0.42
3523,-0.7
3524,-2.32
3525,-0.18
3526,-1.18
3527,-0.65
3528,-3.19
3529,0.0
3530,-2.64
3531,-1.33
3532,-1.38
3533,-2.16
3534,-0.26
3535,-0.67
3536,-3.82
3537,-0.83
3538,-1.21
3539,-1.57
3540,-1.76
3541,-0.17
3542,-3.34
3543,-0.02
3544,-0.6
3545,0.3
3546,-0.58
3547,-1.21
3548,-0.6
3549,-0.89
3550,-0.8
3551,-0.85
3552,0.23
3553,-0.02
3554,-0.76
3555,-0.69
3556,-0.46
3557,-0.64
3558,-1.03
3559,-1.47
3560,-4.88
3561,-1.95
3562,-3.3
3563,-3.5
3564,-2.85
3565,-1.65
3566,-0.64
3567,-1.25
3568,-2.0
3569,-2.3
3570,-2.4
3571,-2.7
3572,-0.8
3573,0.8
3574,1.4
3575,-1.0
3576,0.02
3577,1.36
3578,0.38
3579,-0.17
3580,0.36
3581,0.24
3582,-0.31
3583,1.05
3584,-0.2
3585,-0.41
3586,0.29
3587,-1.3
3588,-0.7
3589,-2.1
3590,-1.0
3591,-0.1
3592,-4.31
3593,-2.87
3594,-4.31
3595,-4.55
3596,0.3
3597,-0.6
3598,0.3
3599,-3.2
3600,-3.7
3601,-2.3
3602,-0.5
3603,-0.4
3604,-4.6
3605,-0.72
3606,-0.3
3607,0.1
3608,-0.2
3609,0.1
3610,-2.5
3611,-3.83
3612,-5.02
3613,0.3
3614,-0.7
3615,-5.02
3616,0.2
3617,-0.3
3618,1.3
3619,0.7
3620,0.9
3621,-0.95
3622,-2.7
3623,-1.4
3624,1.1
3625,1.7
3626,0.1
3627,1.6
3628,-0.1
3629,0.16
3630,-1.16
3631,0.6
3632,0.01
3633,-3.11
3634,-0.2
3635,0.3
3636,-0.6
3637,-1.8
3638,-1.9
3639,0.3
3640,0.3
3641,-4.07
3642,0.1
3643,-1.5
3644,-2.63
3645,-1.2
3646,-4.0
3647,-2.1
3648,-3.1
3649,-2.6
3650,-0.7
3651,-3.2
3652,-2.0
3653,-1.1
3654,-2.1
3655,0.4
3656,-0.9
3657,-2.53
3658,-1.7
3659,-2.3
3660,-0.4
3661,-2.8
3662,-2.3
3663,-3.2
3664,-3.4
3665,-3.11
3666,-1.5
3667,-0.1
3668,-1.0
3669,-0.7
3670,0.5
3671,-1.03
3672,-0.56
3673,-0.1
3674,0.0
3675,-0.4
3676,-0.7
3677,-1.3
3678,-0.8
3679,-4.3
3680,-5.7
3681,-0.4
3682,-3.0
3683,-0.9
3684,-2.8
3685,-1.86
3686,-1.9
3687,-0.8
3688,-0.3
3689,-6.3
3690,-1.5
3691,-0.6
3692,-2.0
3693,-6.0
3694,-3.0
3695,-3.4
3696,0.5
3697,-0.2
3698,-1.6
3699,0.5
3700,-4.78
3701,-2.8
3702,-1.5
3703,0.17
3704,0.6
3705,1.3
3706,1.2
3707,1.5
3708,0.5
3709,0.5
3710,0.3
3711,-0.21
3712,0.32
3713,0.4
3714,-0.8
3715,-0.6
3716,-1.0
3717,0.0
3718,-0.4
3719,-1.91
3720,-0.6
3721,-1.1
3722,-3.11
3723,-1.2
3724,-0.24
3725,-0.22
3726,0.4
3727,-2.9
3728,-0.18
3729,-0.3
3730,0.1
3731,-3.0
3732,0.0
3733,-1.1
3734,-0.2
3735,1.27
3736,1.1
3737,1.7
3738,2.0
3739,-0.77
3740,0.6
3741,0.0
3742,-0.11
3743,-0.11
3744,0.0
3745,0.06
3746,-0.53
3747,0.04
3748,0.31
3749,0.2
3750,0.39
3751,0.33
